DATE,TIME OF DAY,NUMBER OF CRASHES,PERSONS INJURED,PERSONS KILLED,PEAK LOCATION,MAIN FACTOR,MAIN TYPE OF CAR
2012-09-13,AFTERNOON,198,55,0,3 avenue                        ,unspecified,passenger vehicle
2012-09-13,EVENING,90,22,0,hylan boulevard                 ,unspecified,passenger vehicle
2012-09-13,MORNING,176,50,0,northern boulevard              ,unspecified,passenger vehicle
2012-09-13,SMALL HOURS,25,12,0,lexington avenue                ,unspecified,passenger vehicle
2012-09-14,AFTERNOON,181,37,0,broadway                        ,unspecified,passenger vehicle
2012-09-14,EVENING,95,46,0,atlantic avenue                 ,unspecified,passenger vehicle
2012-09-14,MORNING,162,38,0,avenue n                        ,unspecified,passenger vehicle
2012-09-14,SMALL HOURS,41,7,0,5 avenue                        ,unspecified,passenger vehicle
2012-09-15,AFTERNOON,148,35,1,sunrise highway                 ,unspecified,passenger vehicle
2012-09-15,EVENING,88,27,1,grand street                    ,unspecified,passenger vehicle
2012-09-15,MORNING,113,36,0,32 avenue                       ,unspecified,passenger vehicle
2012-09-15,SMALL HOURS,78,21,0,grand concourse                 ,unspecified,passenger vehicle
2012-09-16,AFTERNOON,134,23,0,broadway                        ,unspecified,passenger vehicle
2012-09-16,EVENING,57,23,1,west 42 street                  ,unspecified,passenger vehicle
2012-09-16,MORNING,78,21,0,richmond avenue                 ,unspecified,passenger vehicle
2012-09-16,SMALL HOURS,77,32,0,atlantic avenue                 ,unspecified,passenger vehicle
2012-09-17,AFTERNOON,147,29,0,west 12 street                  ,unspecified,passenger vehicle
2012-09-17,EVENING,56,17,1,signs road                      ,unspecified,passenger vehicle
2012-09-17,MORNING,108,22,1,broadway                        ,unspecified,passenger vehicle
2012-09-17,SMALL HOURS,31,9,0,west 42 street                  ,unspecified,passenger vehicle
2012-09-18,AFTERNOON,161,34,0,madison avenue                  ,unspecified,passenger vehicle
2012-09-18,EVENING,110,55,0,3 avenue                        ,unspecified,passenger vehicle
2012-09-18,MORNING,134,31,0,broadway                        ,unspecified,passenger vehicle
2012-09-18,SMALL HOURS,29,9,1,atlantic avenue                 ,unspecified,passenger vehicle
2012-09-19,AFTERNOON,198,48,0,northern boulevard              ,unspecified,passenger vehicle
2012-09-19,EVENING,67,24,0,5 avenue                        ,unspecified,passenger vehicle
2012-09-19,MORNING,169,41,0,west 42 street                  ,unspecified,passenger vehicle
2012-09-19,SMALL HOURS,26,5,0,emmons avenue                   ,unspecified,passenger vehicle
